id,list_type,list_key,option_order,option_value,option_label,option_label_es
336,state_county,DE,336,Sussex,Sussex,Sussex
337,state_county,FL,337,Alachua,Alachua,Alachua
338,state_county,FL,338,Baker,Baker,Baker
339,state_county,FL,339,Bay,Bay,Bay
340,state_county,FL,340,Bradford,Bradford,Bradford
341,state_county,FL,341,Brevard,Brevard,Brevard
342,state_county,FL,342,Broward,Broward,Broward
343,state_county,FL,343,Calhoun,Calhoun,Calhoun
344,state_county,FL,344,Charlotte,Charlotte,Charlotte
345,state_county,FL,345,Citrus,Citrus,Citrus
346,state_county,FL,346,Clay,Clay,Clay
347,state_county,FL,347,Collier,Collier,Collier
348,state_county,FL,348,Columbia,Columbia,Columbia
349,state_county,FL,349,DeSoto,DeSoto,DeSoto
350,state_county,FL,350,Dixie,Dixie,Dixie
351,state_county,FL,351,Duval,Duval,Duval
352,state_county,FL,352,Escambia,Escambia,Escambia
353,state_county,FL,353,Flagler,Flagler,Flagler
354,state_county,FL,354,Franklin,Franklin,Franklin
355,state_county,FL,355,Gadsden,Gadsden,Gadsden
356,state_county,FL,356,Gilchrist,Gilchrist,Gilchrist
357,state_county,FL,357,Glades,Glades,Glades
358,state_county,FL,358,Gulf,Gulf,Gulf
359,state_county,FL,359,Hamilton,Hamilton,Hamilton
393,state_county,FL,393,Sarasota,Sarasota,Sarasota
395,state_county,FL,395,Seminole,Seminole,Seminole
396,state_county,FL,396,Sumter,Sumter,Sumter
397,state_county,FL,397,Suwannee,Suwannee,Suwannee
398,state_county,FL,398,Taylor,Taylor,Taylor
399,state_county,FL,399,Volusia,Volusia,Volusia
400,state_county,FL,400,Wakulla,Wakulla,Wakulla
401,state_county,FL,401,Walton,Walton,Walton
402,state_county,FL,402,Washington,Washington,Washington
405,state_county,GA,405,Appling,Appling,Appling
406,state_county,GA,406,Atkinson,Atkinson,Atkinson
407,state_county,GA,407,Bacon,Bacon,Bacon
408,state_county,GA,408,Baker,Baker,Baker
409,state_county,GA,409,Baldwin,Baldwin,Baldwin
410,state_county,GA,410,Banks,Banks,Banks
411,state_county,GA,411,Barrow,Barrow,Barrow
412,state_county,GA,412,Bartow,Bartow,Bartow
413,state_county,GA,413,Ben Hill,Ben Hill,Ben Hill
414,state_county,GA,414,Berrien,Berrien,Berrien
415,state_county,GA,415,Bibb,Bibb,Bibb
416,state_county,GA,416,Bleckley,Bleckley,Bleckley
417,state_county,GA,417,Brantley,Brantley,Brantley
418,state_county,GA,418,Brooks,Brooks,Brooks
419,state_county,GA,419,Bryan,Bryan,Bryan
420,state_county,GA,420,Bulloch,Bulloch,Bulloch
421,state_county,GA,421,Burke,Burke,Burke
422,state_county,GA,422,Butts,Butts,Butts
423,state_county,GA,423,Calhoun,Calhoun,Calhoun
1237,state_county,MA,1237,Berkshire,Berkshire,Berkshire
2138,state_county,OH,2138,Warren,Warren,Warren
2197,state_county,OK,2197,Okfuskee,Okfuskee,Okfuskee
1827,state_county,NM,1827,Lea,Lea,Lea
1808,state_county,NJ,1808,Salem,Salem,Salem
1479,state_county,MS,1479,Pike,Pike,Pike
1480,state_county,MS,1480,Pontotoc,Pontotoc,Pontotoc
1481,state_county,MS,1481,Prentiss,Prentiss,Prentiss
1482,state_county,MS,1482,Quitman,Quitman,Quitman
1483,state_county,MS,1483,Rankin,Rankin,Rankin
1491,state_county,MS,1491,Tate,Tate,Tate
1415,state_county,MN,1415,Waseca,Waseca,Waseca
1416,state_county,MN,1416,Washington,Washington,Washington
1419,state_county,MN,1419,Wilkin,Wilkin,Wilkin
1420,state_county,MN,1420,Winona,Winona,Winona
1421,state_county,MN,1421,Wright,Wright,Wright
1422,state_county,MN,1422,Yellow Medicine,Yellow Medicine,Yellow Medicine
1423,state_county,MS,1423,Adams,Adams,Adams
1286,state_county,MI,1286,Isabella,Isabella,Isabella
1287,state_county,MI,1287,Jackson,Jackson,Jackson
1288,state_county,MI,1288,Kalamazoo,Kalamazoo,Kalamazoo
1289,state_county,MI,1289,Kalkaska,Kalkaska,Kalkaska
1221,state_county,MD,1221,Garrett,Garrett,Garrett
1222,state_county,MD,1222,Harford,Harford,Harford
1223,state_county,MD,1223,Howard,Howard,Howard
1224,state_county,MD,1224,Kent,Kent,Kent
1225,state_county,MD,1225,Montgomery,Montgomery,Montgomery
1158,state_county,LA,1158,Franklin Parish,Franklin Parish,Franklin Parish
1159,state_county,LA,1159,Grant Parish,Grant Parish,Grant Parish
1160,state_county,LA,1160,Iberia Parish,Iberia Parish,Iberia Parish
1077,state_county,KY,1077,Knox,Knox,Knox
1093,state_county,KY,1093,Martin,Martin,Martin
1094,state_county,KY,1094,Mason,Mason,Mason
1095,state_county,KY,1095,McCracken,McCracken,McCracken
1096,state_county,KY,1096,McCreary,McCreary,McCreary
1097,state_county,KY,1097,McLean,McLean,McLean
1098,state_county,KY,1098,Meade,Meade,Meade
1099,state_county,KY,1099,Menifee,Menifee,Menifee
1100,state_county,KY,1100,Mercer,Mercer,Mercer
1101,state_county,KY,1101,Metcalfe,Metcalfe,Metcalfe
1102,state_county,KY,1102,Monroe,Monroe,Monroe
1108,state_county,KY,1108,Ohio,Ohio,Ohio
1028,state_county,KY,1028,Bracken,Bracken,Bracken
961,state_county,KS,961,Lane,Lane,Lane
963,state_county,KS,963,Lincoln,Lincoln,Lincoln
894,state_county,IA,894,Sac,Sac,Sac
895,state_county,IA,895,Shelby,Shelby,Shelby
896,state_county,IA,896,Sioux,Sioux,Sioux
897,state_county,IA,897,Story,Story,Story
898,state_county,IA,898,Tama,Tama,Tama
760,state_county,IN,760,Jasper,Jasper,Jasper
761,state_county,IN,761,Jay,Jay,Jay
762,state_county,IN,762,Jefferson,Jefferson,Jefferson
763,state_county,IN,763,Jennings,Jennings,Jennings
694,state_county,IL,694,Piatt,Piatt,Piatt
695,state_county,IL,695,Pike,Pike,Pike
696,state_county,IL,696,Pope,Pope,Pope
697,state_county,IL,697,Pulaski,Pulaski,Pulaski
698,state_county,IL,698,Putnam,Putnam,Putnam
699,state_county,IL,699,Randolph,Randolph,Randolph
700,state_county,IL,700,Richland,Richland,Richland
701,state_county,IL,701,Rock Island,Rock Island,Rock Island
702,state_county,IL,702,Saline,Saline,Saline
703,state_county,IL,703,Sangamon,Sangamon,Sangamon
705,state_county,IL,705,Shelby,Shelby,Shelby
627,state_county,IL,627,Calhoun,Calhoun,Calhoun
628,state_county,IL,628,Carroll,Carroll,Carroll
562,state_county,GA,562,Wheeler,Wheeler,Wheeler
563,state_county,GA,563,White,White,White
564,state_county,GA,564,Whitfield,Whitfield,Whitfield
565,state_county,GA,565,Wilcox,Wilcox,Wilcox
495,state_county,GA,495,Long,Long,Long
496,state_county,GA,496,Lowndes,Lowndes,Lowndes
497,state_county,GA,497,Lumpkin,Lumpkin,Lumpkin
498,state_county,GA,498,Macon,Macon,Macon
499,state_county,GA,499,Madison,Madison,Madison
500,state_county,GA,500,Marion,Marion,Marion
501,state_county,GA,501,McDuffie,McDuffie,McDuffie
502,state_county,GA,502,McIntosh,McIntosh,McIntosh
503,state_county,GA,503,Meriwether,Meriwether,Meriwether
34,state_county,AL,34,Henry,Henry,Henry
35,state_county,AL,35,Houston,Houston,Houston
36,state_county,AL,36,Jackson,Jackson,Jackson
37,state_county,AL,37,Jefferson,Jefferson,Jefferson
92,state_county,AK,92,Valdez-Cordova Census Area,Valdez-Cordova Census Area,Valdez-Cordova Census Area
97,state_county,AZ,97,Apache,Apache,Apache
152,state_county,AR,152,Lincoln,Lincoln,Lincoln
153,state_county,AR,153,Little River,Little River,Little River
154,state_county,AR,154,Logan,Logan,Logan
155,state_county,AR,155,Lonoke,Lonoke,Lonoke
213,state_county,CA,213,Modoc,Modoc,Modoc
214,state_county,CA,214,Mono,Mono,Mono
215,state_county,CA,215,Monterey,Monterey,Monterey
216,state_county,CA,216,Napa,Napa,Napa
217,state_county,CA,217,Nevada,Nevada,Nevada
218,state_county,CA,218,Orange,Orange,Orange
219,state_county,CA,219,Placer,Placer,Placer
220,state_county,CA,220,Plumas,Plumas,Plumas
221,state_county,CA,221,Riverside,Riverside,Riverside
222,state_county,CA,222,Sacramento,Sacramento,Sacramento
223,state_county,CA,223,San Benito,San Benito,San Benito
224,state_county,CA,224,San Bernardino,San Bernardino,San Bernardino
225,state_county,CA,225,San Diego,San Diego,San Diego
227,state_county,CA,227,San Francisco,San Francisco,San Francisco
229,state_county,CA,229,San Joaquin,San Joaquin,San Joaquin
231,state_county,CA,231,San Luis Obispo,San Luis Obispo,San Luis Obispo
233,state_county,CA,233,San Mateo,San Mateo,San Mateo
235,state_county,CA,235,Santa Barbara,Santa Barbara,Santa Barbara
272,state_county,CO,272,Crowley,Crowley,Crowley
273,state_county,CO,273,Custer,Custer,Custer
274,state_county,CO,274,Delta,Delta,Delta
275,state_county,CO,275,Denver,Denver,Denver
276,state_county,CO,276,Dolores,Dolores,Dolores
277,state_county,CO,277,Douglas,Douglas,Douglas
297,state_county,CO,297,Logan,Logan,Logan
3082,state_county,WI,3082,Richland,Richland,Richland
3083,state_county,WI,3083,Rock,Rock,Rock
3084,state_county,WI,3084,Rusk,Rusk,Rusk
3085,state_county,WI,3085,Shawano,Shawano,Shawano
3086,state_county,WI,3086,Sheboygan,Sheboygan,Sheboygan
3087,state_county,WI,3087,St. Croix,St. Croix,St. Croix
3090,state_county,WI,3090,Taylor,Taylor,Taylor
3091,state_county,WI,3091,Trempealeau,Trempealeau,Trempealeau
2466,state_county,TN,2466,Dyer,Dyer,Dyer
2364,state_county,SC,2364,McCormick,McCormick,McCormick
1407,state_county,MN,1407,Stevens,Stevens,Stevens
1370,state_county,MN,1370,Lake,Lake,Lake
1194,state_county,ME,1194,Cumberland,Cumberland,Cumberland
886,state_county,IA,886,Page,Page,Page
745,state_county,IN,745,Floyd,Floyd,Floyd
617,state_county,ID,617,Valley,Valley,Valley
618,state_county,ID,618,Washington,Washington,Washington
621,state_county,IL,621,Adams,Adams,Adams
622,state_county,IL,622,Alexander,Alexander,Alexander
623,state_county,IL,623,Bond,Bond,Bond
624,state_county,IL,624,Boone,Boone,Boone
625,state_county,IL,625,Brown,Brown,Brown
626,state_county,IL,626,Bureau,Bureau,Bureau
629,state_county,IL,629,Cass,Cass,Cass
3093,state_county,WI,3093,Vernon,Vernon,Vernon
3094,state_county,WI,3094,Vilas,Vilas,Vilas
3095,state_county,WI,3095,Walworth,Walworth,Walworth
3096,state_county,WI,3096,Washburn,Washburn,Washburn
3097,state_county,WI,3097,Winnebago,Winnebago,Winnebago
3098,state_county,WI,3098,Wood,Wood,Wood
3099,state_county,WY,3099,Albany,Albany,Albany
325,state_county,CO,325,Yuma,Yuma,Yuma
3100,state_county,WY,3100,Big Horn,Big Horn,Big Horn
3101,state_county,WY,3101,Campbell,Campbell,Campbell
3102,state_county,WY,3102,Carbon,Carbon,Carbon
3103,state_county,WY,3103,Converse,Converse,Converse
3104,state_county,WY,3104,Crook,Crook,Crook
3105,state_county,WY,3105,Fremont,Fremont,Fremont
3106,state_county,WY,3106,Goshen,Goshen,Goshen
3107,state_county,WY,3107,Hot Springs,Hot Springs,Hot Springs
3108,state_county,WY,3108,Johnson,Johnson,Johnson
3109,state_county,WY,3109,Laramie,Laramie,Laramie
3110,state_county,WY,3110,Lincoln,Lincoln,Lincoln
3111,state_county,WY,3111,Natrona,Natrona,Natrona
3112,state_county,WY,3112,Niobrara,Niobrara,Niobrara
3113,state_county,WY,3113,Park,Park,Park
3114,state_county,WY,3114,Platte,Platte,Platte
3115,state_county,WY,3115,Sheridan,Sheridan,Sheridan
3116,state_county,WY,3116,Sublette,Sublette,Sublette
3117,state_county,WY,3117,Sweetwater,Sweetwater,Sweetwater
3118,state_county,WY,3118,Teton,Teton,Teton
3119,state_county,WY,3119,Washakie,Washakie,Washakie
3120,state_county,WY,3120,Weston,Weston,Weston
1,state_county,AL,1,Autauga,Autauga,Autauga
3020,state_county,WV,3020,Ritchie,Ritchie,Ritchie
3021,state_county,WV,3021,Roane,Roane,Roane
3022,state_county,WV,3022,Summers,Summers,Summers
3023,state_county,WV,3023,Taylor,Taylor,Taylor
3024,state_county,WV,3024,Tucker,Tucker,Tucker
3026,state_county,WV,3026,Wetzel,Wetzel,Wetzel
3027,state_county,WV,3027,Wirt,Wirt,Wirt
3028,state_county,WV,3028,Wood,Wood,Wood
3029,state_county,WV,3029,Wyoming,Wyoming,Wyoming
3030,state_county,WI,3030,Adams,Adams,Adams
3031,state_county,WI,3031,Ashland,Ashland,Ashland
3032,state_county,WI,3032,Barron,Barron,Barron
3033,state_county,WI,3033,Bayfield,Bayfield,Bayfield
3034,state_county,WI,3034,Brown,Brown,Brown
3035,state_county,WI,3035,Buffalo,Buffalo,Buffalo
3036,state_county,WI,3036,Burnett,Burnett,Burnett
3037,state_county,WI,3037,Calumet,Calumet,Calumet
3038,state_county,WI,3038,Chippewa,Chippewa,Chippewa
3039,state_county,WI,3039,Clark,Clark,Clark
3040,state_county,WI,3040,Columbia,Columbia,Columbia
3041,state_county,WI,3041,Crawford,Crawford,Crawford
3042,state_county,WI,3042,Dane,Dane,Dane
3043,state_county,WI,3043,Dodge,Dodge,Dodge
3044,state_county,WI,3044,Door,Door,Door
3045,state_county,WI,3045,Douglas,Douglas,Douglas
3046,state_county,WI,3046,Dunn,Dunn,Dunn
3047,state_county,WI,3047,Eau Claire,Eau Claire,Eau Claire
3048,state_county,WI,3048,Florence,Florence,Florence
3049,state_county,WI,3049,Fond du Lac,Fond du Lac,Fond du Lac
3050,state_county,WI,3050,Forest,Forest,Forest
3051,state_county,WI,3051,Grant,Grant,Grant
3052,state_county,WI,3052,Green,Green,Green
3053,state_county,WI,3053,Green Lake,Green Lake,Green Lake
3054,state_county,WI,3054,Iowa,Iowa,Iowa
3055,state_county,WI,3055,Iron,Iron,Iron
3056,state_county,WI,3056,Jackson,Jackson,Jackson
3057,state_county,WI,3057,Jefferson,Jefferson,Jefferson
3058,state_county,WI,3058,Juneau,Juneau,Juneau
3059,state_county,WI,3059,Kenosha,Kenosha,Kenosha
3060,state_county,WI,3060,Kewaunee,Kewaunee,Kewaunee
3061,state_county,WI,3061,La Crosse,La Crosse,La Crosse
3062,state_county,WI,3062,Lafayette,Lafayette,Lafayette
3063,state_county,WI,3063,Langlade,Langlade,Langlade
3064,state_county,WI,3064,Lincoln,Lincoln,Lincoln
3065,state_county,WI,3065,Manitowoc,Manitowoc,Manitowoc
3066,state_county,WI,3066,Marathon,Marathon,Marathon
3067,state_county,WI,3067,Marinette,Marinette,Marinette
3068,state_county,WI,3068,Marquette,Marquette,Marquette
3069,state_county,WI,3069,Menominee,Menominee,Menominee
3070,state_county,WI,3070,Milwaukee,Milwaukee,Milwaukee
3071,state_county,WI,3071,Monroe,Monroe,Monroe
3072,state_county,WI,3072,Oconto,Oconto,Oconto
3073,state_county,WI,3073,Oneida,Oneida,Oneida
3074,state_county,WI,3074,Outagamie,Outagamie,Outagamie
3075,state_county,WI,3075,Ozaukee,Ozaukee,Ozaukee
3076,state_county,WI,3076,Pepin,Pepin,Pepin
3077,state_county,WI,3077,Pierce,Pierce,Pierce
3078,state_county,WI,3078,Polk,Polk,Polk
3079,state_county,WI,3079,Portage,Portage,Portage
3080,state_county,WI,3080,Price,Price,Price
